variable,n_obs,n_units,year_min,year_max,mean,sd,p25,median,p75,coverage_pct
ln_population,1258,42,1995,2024,13.0188,0.4257,12.6988,13.0058,13.3083,1.0000
nat_change_rate,1050,42,2000,2024,-3.3302,2.9740,-5.0000,-3.0000,-1.3000,0.8347
net_migration_rate,1050,42,2000,2024,-1.1734,8.6285,-3.7000,-1.2000,1.2000,0.8347
unemployment,1092,42,1999,2024,6.5593,2.0692,5.0000,6.6000,8.0000,0.8680
gva_per_empl,1050,42,2000,2024,14035.0280,9477.7538,7002.2936,12088.7186,18755.2689,0.8347
ln_gva_per_empl,1050,42,2000,2024,9.3174,0.7163,8.8540,9.4000,9.8392,0.8347
